# RECONSTRUCTED: 15/9-F-11 A definitive survey to 2585 m MD sidetrack point; below, a smooth path through the official Volve formation-pick coordinates (MD/TVD/E/N) of 15/9-F-11 B
MD,INC,AZI,TVD,NS,EW
3385.53,71.899,120.155,2857.94,32.95,316.15
3390.46,71.613,120.135,2859.49,30.59,320.21
3395.40,71.084,119.851,2861.07,28.25,324.27
3400.18,71.227,120.129,2862.61,25.99,328.18
3404.96,71.342,120.445,2864.14,23.71,332.09
3409.73,71.432,120.801,2865.67,21.41,335.98
3414.51,71.496,121.196,2867.18,19.08,339.86
3419.29,71.534,121.631,2868.70,16.72,343.72
3424.07,71.546,122.105,2870.21,14.33,347.57
3428.84,71.534,122.620,2871.72,11.90,351.39
3433.62,71.496,123.175,2873.23,9.45,355.20
3438.40,71.435,123.770,2874.75,6.95,358.97
3443.24,71.210,124.966,2876.30,4.36,362.76
3448.09,71.146,125.861,2877.87,1.70,366.49
3452.93,71.239,126.452,2879.43,-1.01,370.20
3457.78,71.484,126.738,2880.98,-3.75,373.88
3462.62,71.881,126.721,2882.50,-6.50,377.57
3467.47,72.431,126.402,2883.99,-9.25,381.27
3472.24,71.956,126.924,2885.45,-11.96,384.91
3477.01,71.617,127.343,2886.94,-14.69,388.52
3481.78,71.413,127.658,2888.45,-17.45,392.11
3486.54,71.342,127.868,2889.98,-20.22,395.68
3491.31,71.404,127.974,2891.51,-23.00,399.25
3496.08,71.599,127.974,2893.02,-25.79,402.82
3500.85,71.927,127.870,2894.52,-28.58,406.40
3505.62,72.388,127.661,2895.98,-31.36,409.99
3510.39,72.984,127.349,2897.40,-34.13,413.60
3515.16,73.716,126.936,2898.77,-36.89,417.24
3519.93,74.584,126.421,2900.07,-39.62,420.91
3524.69,75.590,125.809,2901.29,-42.33,424.62
3529.46,76.734,125.100,2902.43,-45.01,428.38
3534.23,78.015,124.297,2903.47,-47.65,432.20
3539.00,79.433,123.404,2904.40,-50.25,436.07
3543.92,79.830,123.236,2905.28,-52.90,440.09
3548.84,80.217,123.071,2906.13,-55.53,444.13
3553.75,80.595,122.909,2906.94,-58.16,448.18
3558.67,80.963,122.750,2907.73,-60.78,452.23
3563.59,81.321,122.594,2908.48,-63.39,456.30
3568.51,81.670,122.441,2909.20,-65.99,460.38
3573.43,82.008,122.291,2909.90,-68.58,464.47
3578.35,82.337,122.144,2910.56,-71.16,468.57
3583.26,82.656,121.999,2911.20,-73.74,472.68
3588.18,82.964,121.857,2911.82,-76.30,476.80
3593.10,83.263,121.718,2912.40,-78.86,480.93
3598.02,83.552,121.582,2912.96,-81.41,485.06
3602.94,83.831,121.449,2913.50,-83.95,489.21
3607.85,84.100,121.318,2914.02,-86.49,493.37
3612.77,84.359,121.190,2914.51,-89.01,497.53
3617.69,84.608,121.065,2914.98,-91.53,501.70
3622.61,84.847,120.943,2915.43,-94.04,505.88
3627.53,85.076,120.823,2915.86,-96.55,510.07
3632.45,85.295,120.706,2916.27,-99.05,514.26
3637.36,85.504,120.592,2916.66,-101.54,518.46
3642.28,85.703,120.480,2917.04,-104.02,522.67
3647.20,85.892,120.371,2917.40,-106.49,526.89
3652.12,86.071,120.265,2917.74,-108.96,531.11
3657.04,86.240,120.161,2918.07,-111.42,535.34
3661.95,86.399,120.060,2918.38,-113.88,539.57
3666.87,86.548,119.961,2918.69,-116.33,543.81
3671.79,86.687,119.865,2918.98,-118.77,548.06
3676.71,86.817,119.772,2919.25,-121.21,552.31
3681.63,86.936,119.681,2919.52,-123.64,556.56
3686.55,87.046,119.593,2919.78,-126.06,560.82
3691.46,87.146,119.507,2920.03,-128.48,565.09
3696.38,87.235,119.424,2920.27,-130.89,569.36
3701.30,87.315,119.343,2920.50,-133.30,573.63
3706.22,87.386,119.265,2920.73,-135.70,577.91
3711.14,87.446,119.189,2920.95,-138.10,582.20
3716.05,87.496,119.116,2921.17,-140.49,586.48
3720.97,87.537,119.046,2921.38,-142.87,590.77
3725.89,87.568,118.978,2921.59,-145.25,595.06
3730.81,87.588,118.912,2921.80,-147.63,599.36
3735.73,87.599,118.849,2922.00,-150.00,603.65
3740.65,87.601,118.788,2922.21,-152.37,607.95
3745.56,87.592,118.730,2922.41,-154.73,612.26
3750.48,87.574,118.674,2922.62,-157.08,616.56
3755.40,87.545,118.621,2922.83,-159.43,620.87
3760.32,87.507,118.570,2923.04,-161.78,625.17
3765.24,87.459,118.522,2923.26,-164.13,629.48
3770.15,87.401,118.476,2923.48,-166.47,633.79
3775.07,87.333,118.433,2923.70,-168.80,638.10
3779.99,87.255,118.392,2923.93,-171.13,642.41
3784.91,87.168,118.353,2924.17,-173.46,646.72
3789.83,87.070,118.317,2924.42,-175.79,651.03
3794.75,86.963,118.284,2924.67,-178.11,655.34
3799.66,86.845,118.253,2924.94,-180.42,659.65
3804.58,86.718,118.224,2925.21,-182.74,663.96
3809.50,86.581,118.198,2925.50,-185.05,668.27
3814.46,87.112,117.811,2925.77,-187.37,672.64
3819.42,87.542,117.443,2926.00,-189.67,677.03
